날짜,공원명,반경(m),반경내_행정동수,반경내_생활인구합,인구가중_평균거리(m),공원_lat,공원_lng
20250812,불암산도시자연공원,2000,3,1749529.1357,1730.0053819449186,37.6636719,127.0952714
20250812,서울창포원,2000,1,945382.2063,1248.57811404843,37.689585,127.047938
20250812,용두근린공원,2000,21,14631787.5211,793.334097523446,37.5732791,127.0390042
20250812,배봉산근린공원,2000,4,2513846.6955,1563.4993385671246,37.5812324,127.0641623
20250812,국립서울현충원,2000,7,5415211.8719,1691.2578533232838,37.4998621,126.9736849
20250812,보라매공원,2000,7,4910219.0298999995,1535.048938027483,37.492333,126.918289
20250812,독립공원,2000,24,16927132.2859,1566.3298849952862,37.5738289,126.956771
20250812,청계산도시자연공원,2000,0,0.0,,37.4224347,127.0424726
20250812,매헌시민의숲,2000,4,5022135.587099999,961.026479884343,37.471225,127.035042
20250812,서울숲,2000,10,7816773.434700001,1323.2095319163175,37.5430717,127.0417982
20250812,달맞이근린공원,2000,14,8616021.6274,1407.8471200998003,37.543564,127.0212054
20250812,청량근린공원,2000,4,3116163.8141,1357.6635653973008,37.6020055,127.0511145
20250812,서서울호수공원,2000,7,2300287.2915000003,922.1373221326555,37.5278392,126.8304789
20250812,파리근린공원,2000,19,12679991.8007,1547.475332278269,37.5349739,126.8763932
20250812,선유도공원,2000,15,11231481.9803,1820.1254589874095,37.54255966,126.9017287
20250812,여의도공원,2000,3,7103025.2823,1639.4064940587473,37.5268088,126.9222841
20250812,진관근린공원(구파발폭포/이말산),2000,1,1699320.3824999998,1663.218960835484,37.6370244,126.9192155
20250812,사가정공원,2000,2,1349053.8364,982.748697762563,37.5797622,127.095997
20250812,중랑캠핑숲,2000,14,8311651.936699999,1239.0415390982268,37.6049896,127.1093075
