"분류","자치구","공연/행사명","날짜/시간","장소","시작일","종료일"
"교육/체험","종로구","2023년 상반기 세종예술아카데미 예술프로그램","2023-03-20~2023-07-22","세종문화회관 세종예술아카데미 스퀘어홀, 오픈스테이지 외","2023-03-20 09:00:00+09","2023-07-22 09:00:00+09"
"기타","마포구","[3월/성인메이킹] (김동식 작가) 초단편 글쓰기 / Book Cx클래스","2023-03-18~2023-04-08","마포구립서강도서관 3층 Book C","2023-03-18 09:00:00+09","2023-04-08 09:00:00+09"
"클래식","마포구","마포인재육성장학재단과 함께하는 [2023 신춘음악회]","2023-03-18~2023-03-18","마포아트센터 아트홀맥","2023-03-18 09:00:00+09","2023-03-18 09:00:00+09"
"연극","구로구","극단 마고 [고목] 2023대한민국연극제 서울대회","2023-03-18~2023-03-18","구로아트밸리 예술극장","2023-03-18 09:00:00+09","2023-03-18 09:00:00+09"
"뮤지컬/오페라","은평구","가족뮤지컬 겨울왕국스토리 겨울이야기","2023-03-18~2023-03-18","은평문화예술회관","2023-03-18 09:00:00+09","2023-03-18 09:00:00+09"
"전시/미술","중구","아트 오브 댄스","2023-03-17~2023-05-21","DDP 뮤지엄 2층 전시2관","2023-03-17 09:00:00+09","2023-05-21 09:00:00+09"
"교육/체험","노원구","과학관에서 만나는 치매 : 과만치","2023-03-17~2023-03-31","서울시립과학관 (강연) 1/2층 사이언스홀, (체험강의) 3층 교육실","2023-03-17 09:00:00+09","2023-03-31 09:00:00+09"
"교육/체험","노원구","[강연 및 체험강의] 과만치 : 과학관에서 만나는 치매","2023-03-17~2023-03-21","서울시립과학관 1/2층 사이언스홀, 3층 3교육실","2023-03-17 09:00:00+09","2023-03-21 09:00:00+09"
"뮤지컬/오페라","금천구","차차차원이 다다른 차원","2023-03-17~2023-03-18","금나래아트홀 공연장","2023-03-17 09:00:00+09","2023-03-18 09:00:00+09"
"클래식","강남구","강남심포니오케스트라 제97회 정기연주회 MASTERPIECE SERIES Ⅷ","2023-03-17~2023-03-17","예술의전당 콘서트홀","2023-03-17 09:00:00+09","2023-03-17 09:00:00+09"
"교육/체험","종로구","[서울역사박물관] 우리 따로, 또 같이 - 너와 나의 경희궁","2023-03-15~2023-04-28","서울역사박물관, 경희궁","2023-03-15 09:00:00+09","2023-04-28 09:00:00+09"
"뮤지컬/오페라","종로구","왁자지껄 수다 뮤지컬 [다시, 봄]","2023-03-15~2023-04-01","세종S씨어터","2023-03-15 09:00:00+09","2023-04-01 09:00:00+09"
"콘서트","구로구","Candlelight Guitar 서승민","2023-03-15~2023-03-15","오류문화센터 오류아트홀","2023-03-15 09:00:00+09","2023-03-15 09:00:00+09"
"연극","구로구","극단 노을 [붉은 오르골] 2023대한민국연극제 서울대회","2023-03-15~2023-03-15","구로아트밸리 예술극장","2023-03-15 09:00:00+09","2023-03-15 09:00:00+09"
"교육/체험","송파구","[휴휴프로그램Ⅱ] ","2023-03-14~2023-03-30","몽촌역사관","2023-03-14 09:00:00+09","2023-03-30 09:00:00+09"
"교육/체험","종로구","[서울역사박물관] 제38기 고등학생 인턴제","2023-03-11~2023-04-01","온라인 원격 교육","2023-03-11 09:00:00+09","2023-04-01 09:00:00+09"
"교육/체험","도봉구","원당한옥마을도서관 「고즈넉한 북살롱: 자녀를 위한 문해력」","2023-03-11~2023-03-18","원당마을한옥도서관 바른채","2023-03-11 09:00:00+09","2023-03-18 09:00:00+09"
"클래식","송파구","2023 서울시향 코파친스카야의 쇼스타코비치 ②","2023-03-11~2023-03-11","롯데콘서트홀","2023-03-11 09:00:00+09","2023-03-11 09:00:00+09"
"교육/체험","성동구","맨홀 속 나의 역사","2022-05-07~2022-05-28","서울하수도과학관 교육실","2022-05-07 09:00:00+09","2022-05-28 09:00:00+09"
"연극","구로구","창작공동체 아르케[우리읍내] 2023대한민국연극제 서울대회","2023-03-11~2023-03-11","구로아트밸리 예술극장","2023-03-11 09:00:00+09","2023-03-11 09:00:00+09"
"국악","은평구","[기획공연] 대박!오일장","2023-03-11~2023-03-11","은평문화예술회관 공연장","2023-03-11 09:00:00+09","2023-03-11 09:00:00+09"
"클래식","송파구","2023 서울시향 코파친스카야의 쇼스타코비치 ①","2023-03-10~2023-03-10","롯데콘서트홀","2023-03-10 09:00:00+09","2023-03-10 09:00:00+09"
"연극","광진구","2023 대한민국연극제 서울대회","2023-03-09~2023-03-19","나루아트센터 대공연","2023-03-09 09:00:00+09","2023-03-19 09:00:00+09"
"연극","노원구","용감한 탄티","2023-03-09~2023-03-11","노원어린이극장","2023-03-09 09:00:00+09","2023-03-11 09:00:00+09"
"전시/미술","강북구"," 삼각산시민청X성신여자대학교 서양화과 협력전시 [계절을 넘어서_성장할까요]","2023-03-08~2023-03-30","삼각산시민청 2동 삼각산시민청갤러리","2023-03-08 09:00:00+09","2023-03-30 09:00:00+09"
"콘서트","강동구","마티네 콘서트 [낭만드림] 3월","2023-03-08~2023-03-08","강동아트센터 소극장 드림","2023-03-08 09:00:00+09","2023-03-08 09:00:00+09"
"영화","서초구","[서초문화재단] 심산 영화관 삼일절 특별상영 '항거: 유관순 이야기'","2023-03-07~2023-03-07","서초문화재단 반포심산아트홀","2023-03-07 09:00:00+09","2023-03-07 09:00:00+09"
"교육/체험","도봉구","[도봉문화정보도서관] 50+, 그림책 꽃이 피었습니다","2023-03-06~2023-03-27","도봉문화정보도서관 2층 문화마루","2023-03-06 09:00:00+09","2023-03-27 09:00:00+09"
"교육/체험","은평구","전통 목가구 제작 [소목교실] 참여자 모집","2023-03-04~2023-05-20","은평역사한옥박물관 목공실","2023-03-04 09:00:00+09","2023-05-20 09:00:00+09"
"교육/체험","노원구","[서울생활사박물관] 가족 생활사 공작소 교육 프로그램","2023-03-04~2023-05-13","서울생활사박물관","2023-03-04 09:00:00+09","2023-05-13 09:00:00+09"
"교육/체험","광진구","[서울상상나라] (가족요리) 알록달록 꽃 피자","2023-03-04~2023-03-26","지하 1층 요리놀이실","2023-03-04 09:00:00+09","2023-03-26 09:00:00+09"
"교육/체험","광진구","[서울상상나라] (오감요리) 벚꽃 쿠키","2023-03-04~2023-03-26","지하 1층 요리놀이실","2023-03-04 09:00:00+09","2023-03-26 09:00:00+09"
"교육/체험","송파구","[몽촌토성투어프로그램] '개로왕의 밀지 첩자의 흔적'","2023-03-04~2023-03-25","몽촌역사관","2023-03-04 09:00:00+09","2023-03-25 09:00:00+09"
"교육/체험","종로구","[서울역사박물관] 청소년 자원봉사 '서울역사지킴이'","2023-03-04~2023-03-25","서울역사박물관 2학습실","2023-03-04 09:00:00+09","2023-03-25 09:00:00+09"
"클래식","구로구","Composer Series Ⅱ ： Wolfgang Amadeus Mozart '모차르트 협주곡의 밤'","2023-03-04~2023-03-04","구로아트밸리 예술극장","2023-03-04 09:00:00+09","2023-03-04 09:00:00+09"
"뮤지컬/오페라","강북구","해설과 함께하는 오페라 콘서트 [라 트라비아타]","2023-03-04~2023-03-04","강북진달래홀","2023-03-04 09:00:00+09","2023-03-04 09:00:00+09"
"뮤지컬/오페라","은평구","프린세스 공주뮤지컬쇼","2023-03-04~2023-03-04","은평문화예술회관 공연장","2023-03-04 09:00:00+09","2023-03-04 09:00:00+09"
"무용","노원구","깨비와 혹부리영감","2023-03-03~2023-03-03","노원문화예술회관 대공연장","2023-03-03 09:00:00+09","2023-03-03 09:00:00+09"
"콘서트","서초구","[서초문화원] 수요열린음악회- Three Voices","2023-03-03~2023-03-03","서초문화예술회관 아트홀","2023-03-03 09:00:00+09","2023-03-03 09:00:00+09"
"교육/체험","중구","《강석호: 3분의 행복》 전시연계 대담","2023-03-03~2023-03-03","서울시립미술관 서소문본관 3층 전시실","2023-03-03 09:00:00+09","2023-03-03 09:00:00+09"
"교육/체험","도봉구","2023년 삼각산동화책","2023-03-02~2023-11-30","삼각산시민청 1동 활짝라운지 (도봉구 삼양로 592)","2023-03-02 09:00:00+09","2023-11-30 09:00:00+09"
"콘서트","마포구","Kwavecon","2023-03-02~2023-10-31","케이터틀 2층 K웨이브홀(컨벤션홀)","2023-03-02 09:00:00+09","2023-10-31 09:00:00+09"
"전시/미술","강남구","《시간/물질: 생동하는 뮤지엄  TIME/MATERIAL: Performing Museology》","2023-03-02~2023-06-10","스페이스 씨","2023-03-02 09:00:00+09","2023-06-10 09:00:00+09"
"교육/체험","중랑구","옹기테마체험관 3월 프로그램","2023-03-02~2023-03-28","옹기테마공원","2023-03-02 09:00:00+09","2023-03-28 09:00:00+09"
"교육/체험","송파구","[휴휴프로그램Ⅰ] ","2023-03-02~2023-03-16","몽촌역사관","2023-03-02 09:00:00+09","2023-03-16 09:00:00+09"
"무용","중구","국립무용단 [더 룸]","2023-03-02~2023-03-04","국립극장 달오름","2023-03-02 09:00:00+09","2023-03-04 09:00:00+09"
"클래식","중랑구","[문화N중랑] 서울시립교향악단 '우리동네 음악회 실내악'","2023-03-02~2023-03-02","중랑구청 대강당","2023-03-02 09:00:00+09","2023-03-02 09:00:00+09"
"클래식","강동구","동요, 클래식이 되다","2023-03-02~2023-03-02","강동아트센터 대극장 한강","2023-03-02 09:00:00+09","2023-03-02 09:00:00+09"
"클래식","종로구","2023 서울시향 우리동네 음악회 실내악","2023-03-02~2023-03-02","중랑구청 대강당","2023-03-02 09:00:00+09","2023-03-02 09:00:00+09"
"교육/체험","도봉구","2023년 함석헌기념관 힐링in문학(낭독) [낭만, 함석헌] 참여자 모집","2023-03-01~2023-12-31","함석헌기념관 유리온실","2023-03-01 09:00:00+09","2023-12-31 09:00:00+09"
"축제-기타","중구","[MBN Y FORUM] 2030 청년 멘토링 축제, MBN Y 포럼 2023","2023-02-15~2023-02-15","서울 장충체육관","2023-02-15 09:00:00+09","2023-02-15 09:00:00+09"
"교육/체험","도봉구","2023년 함석헌기념관 힐링in문학(낭송) [무욕청정(無欲淸淨)] 참여자 모집","2023-03-01~2023-12-13","함석헌기념관 유리온실","2023-03-01 09:00:00+09","2023-12-13 09:00:00+09"
"교육/체험","도봉구","2023 수요창작소","2023-03-01~2023-11-29","삼각산시민청 1동 활짝라운지 (도봉구 삼양로 592)","2023-03-01 09:00:00+09","2023-11-29 09:00:00+09"
"콘서트","도봉구","2023 삼각산 활력콘서트","2023-03-01~2023-10-26","삼각산시민청 1동 2층 활짝라운지","2023-03-01 09:00:00+09","2023-10-26 09:00:00+09"
"기타","중구","2023년 솔밭 수요버스킹","2023-03-01~2023-06-30","동북권 일대 (솔밭근린공원, 창동역 1번출구, 우이교 음악분수)","2023-03-01 09:00:00+09","2023-06-30 09:00:00+09"
"전시/미술","용산구","에그박사팀의 연구실 in 노들섬","2023-03-01~2023-06-30","노들섬 노들갤러리 1관","2023-03-01 09:00:00+09","2023-06-30 09:00:00+09"
"기타","중구","[서울애니메이션센터] 도심 속 문화체험공간! 만화도서관 & 애니소풍","2023-03-01~2023-03-31","서울애니메이션센터 1,2층","2023-03-01 09:00:00+09","2023-03-31 09:00:00+09"
"전시/미술","금천구","금천 다시, 봄","2023-03-01~2023-03-31","금나래갤러리","2023-03-01 09:00:00+09","2023-03-31 09:00:00+09"
"전시/미술","중구","김윤신: 더하고 나누며, 하나","2023-02-28~2023-05-07","서울시립 남서울미술관 1층 야외, 1층 전시실, 2층 전시실","2023-02-28 09:00:00+09","2023-05-07 09:00:00+09"
"교육/체험","강서구","서울식물원 로봇 '로보타닉'이 안내해드립니다!","2023-02-28~2023-03-31","서울식물원 온실 등","2023-02-28 09:00:00+09","2023-03-31 09:00:00+09"
"클래식","노원구","노원 필하모니커 창단 및 제1회 정기연주회","2023-02-28~2023-02-28","노원문화예술회관 대공연장","2023-02-28 09:00:00+09","2023-02-28 09:00:00+09"
"교육/체험","도봉구","[쌍문채움도서관] 문화가 있는 날 문학, 재즈와 만나다","2023-02-28~2023-02-28","쌍문채움도서관 2층 다목적 강당","2023-02-28 09:00:00+09","2023-02-28 09:00:00+09"
"클래식","서초구","Petite Concert 비올리스트 신경식 리사이틀 : TIME LOOP","2023-02-28~2023-02-28","심산문화센터 반포심산아트홀","2023-02-28 09:00:00+09","2023-02-28 09:00:00+09"
"교육/체험","도봉구","[도봉기적의도서관] 그림책 큐레이터 양성 과정","2023-02-27~2023-04-17","도봉기적의도서관 2층 배움터","2023-02-27 09:00:00+09","2023-04-17 09:00:00+09"
"교육/체험","은평구","2023년 서울기록원 「기록활동가 양성과정」 참여자 모집(2.27~선착순)","2023-02-27~2023-03-28","서울기록원 3층 교육실","2023-02-27 09:00:00+09","2023-03-28 09:00:00+09"
"기타","성동구","맨홀은 왜 둥글지?","2023-02-01~2023-02-22","서울하수도과학관 2층 교육실","2023-02-01 09:00:00+09","2023-02-22 09:00:00+09"
"국악","종로구","김율희 [완창판소리 강산제 심청가]","2023-02-26~2023-02-26","서울돈화문국악당","2023-02-26 09:00:00+09","2023-02-26 09:00:00+09"
"기타","마포구","[월드뮤직 & 댄스 시리즈] 2023 탱고, 매혹","2023-02-26~2023-02-26"," 마포아트센터 1층 아트홀맥","2023-02-26 09:00:00+09","2023-02-26 09:00:00+09"
"국악","종로구","김율희 [완창판소리 강산제 심청가]","2023-02-26~2023-02-26","서울돈화문국악당","2023-02-26 09:00:00+09","2023-02-26 09:00:00+09"
"교육/체험","종로구","[서울역사박물관] 우리 가족 경희궁 탐험대","2023-02-25~2023-07-08","서울역사박물관, 경희궁","2023-02-25 09:00:00+09","2023-07-08 09:00:00+09"
"클래식","강남구","강남심포니오케스트라 제96회 정기연주회 MASTERPIECE SERIES","2023-02-25~2023-02-25","예술의전당 콘서트홀","2023-02-25 09:00:00+09","2023-02-25 09:00:00+09"
"콘서트","중구","[공간 공모 지원사업] 팀 도토리 '도토리 콘서트'","2023-02-25~2023-02-25","서울시청 시민청 지하 2층 (바스락홀)","2023-02-25 09:00:00+09","2023-02-25 09:00:00+09"
"클래식","구로구","[대관] 2023 한국대학생연합오케스트라 정기연주회 New Journey","2023-02-25~2023-02-25","구로아트밸리 예술극장","2023-02-25 09:00:00+09","2023-02-25 09:00:00+09"
"콘서트","노원구","2023 12회 노원구립청소년합창단 정기연주회","2023-02-25~2023-02-25","노원문화예술회관 대공연장","2023-02-25 09:00:00+09","2023-02-25 09:00:00+09"
"클래식","종로구","2023년 박물관 토요음악회 ","2023-02-24~2023-12-02","박물관 1층 로비 ","2023-02-24 09:00:00+09","2023-12-02 09:00:00+09"
"뮤지컬/오페라","종로구","제23회 렛미스타트 정기공연 [실비아, 살다]","2023-02-24~2023-02-25","꿈의숲아트센터 퍼포먼스홀","2023-02-24 09:00:00+09","2023-02-25 09:00:00+09"
"클래식","서초구","한국 클래식 유망주 초청 협주곡의 밤","2023-02-24~2023-02-24","심산문화센터 반포심산아트홀","2023-02-24 09:00:00+09","2023-02-24 09:00:00+09"
"독주/독창회","종로구","전수진 피아노 독주회","2023-02-24~2023-02-24","꿈의숲 콘서트홀","2023-02-24 09:00:00+09","2023-02-24 09:00:00+09"
"전시/미술","광진구","세종아트갤러리 박삼영 초대전","2023-02-23~2023-04-06","세종대학교 광개토관 B1 세종아트갤러리 ","2023-02-23 09:00:00+09","2023-04-06 09:00:00+09"
"전시/미술","중구","[공간 공모 지원사업] 심효선 '오늘의 장소가 어제와 같을 수 없고'","2023-02-23~2023-03-07","서울시청 시민청 지하 1층 시민청 갤러리","2023-02-23 09:00:00+09","2023-03-07 09:00:00+09"
"교육/체험","도봉구","2023 도봉구 문화도시 포럼","2023-02-23~2023-02-23","씨알방학간 3층","2023-02-23 09:00:00+09","2023-02-23 09:00:00+09"
"클래식","종로구","신년음악페스티벌-2023 Music Festival","2023-02-23~2023-02-23","꿈의숲 콘서트홀","2023-02-23 09:00:00+09","2023-02-23 09:00:00+09"
"국악","종로구","강태훈 [역량과 경계]","2023-02-23~2023-02-23","서울돈화문국악당","2023-02-23 09:00:00+09","2023-02-23 09:00:00+09"
"전시/미술","종로구","김인태 사진전 ","2023-02-22~2023-03-14","서울시 종로구 인사동 10길, 10 / 1관, B관","2023-02-22 09:00:00+09","2023-03-14 09:00:00+09"
"콘서트","중구","2023 한국즉흥음악축제 ","2023-02-22~2023-02-23","서울남산국악당 공연장 및 체험실","2023-02-22 09:00:00+09","2023-02-23 09:00:00+09"
"기타","도봉구","[도봉기적의도서관] 호야 박사의 과학 실험","2023-02-22~2023-02-22","도봉기적의도서관 열두대문극장","2023-02-22 09:00:00+09","2023-02-22 09:00:00+09"
"교육/체험","구로구","[구로구립 궁동어린이도서관] 2월 문화가 있는 날","2023-02-22~2023-02-22","궁동어린이도서관 1,2층 자료실","2023-02-22 09:00:00+09","2023-02-22 09:00:00+09"
"기타","구로구","[개봉어린이도서관] 2월 문화가 있는 날","2023-02-22~2023-02-22","개봉어린이도서관","2023-02-22 09:00:00+09","2023-02-22 09:00:00+09"
"클래식","강남구","국내초연 피터 다이슨(영국): 봄을 기다리며","2023-02-22~2023-02-22","비대면","2023-02-22 09:00:00+09","2023-02-22 09:00:00+09"
"클래식","종로구","왕명호 플루트 독주회","2023-02-22~2023-02-22","꿈의숲 콘서트홀","2023-02-22 09:00:00+09","2023-02-22 09:00:00+09"
"전시/미술","구로구","[구로구립글마루한옥어린이도서관] 2월 문화가 있는 날 세시풍속도서전시 ","2023-02-22~2023-02-22","구로구립 글마루한옥어린이도서관","2023-02-22 09:00:00+09","2023-02-22 09:00:00+09"
"클래식","종로구","제86회 조선일보 신인음악회","2023-02-21~2023-02-24","세종체임버홀","2023-02-21 09:00:00+09","2023-02-24 09:00:00+09"
"교육/체험","중구","[서울시립미술관] 겨울방학 프로그램 [행복 트리밍 작업실] : 가족 ","2023-02-21~2023-02-22","서울시립미술관 서소문 본관 전시실, 강의실 ","2023-02-21 09:00:00+09","2023-02-22 09:00:00+09"
"기타","종로구","2023 예술기업 지원사업 설명회","2023-02-21~2023-02-21","JCC 아트센터 콘서트홀","2023-02-21 09:00:00+09","2023-02-21 09:00:00+09"
"클래식","종로구","김희정 이주원 피아노 듀오 리사이틀","2023-02-21~2023-02-21","꿈의숲 콘서트홀","2023-02-21 09:00:00+09","2023-02-21 09:00:00+09"
"교육/체험","은평구","[구립증산정보도서관] 2023 예비학부모 특강 두근두근 초등학교 1학년, 입학준비","2023-02-21~2023-02-21","온라인(ZOOM)","2023-02-21 09:00:00+09","2023-02-21 09:00:00+09"
"교육/체험","은평구","[은평뉴타운도서관] 2023년 학부모특강 [자신만만 초등 입학 준비]","2023-02-20~2023-02-20","은평뉴타운도서관 2층 다목적실","2023-02-20 09:00:00+09","2023-02-20 09:00:00+09"
"독주/독창회","종로구","이선아 피아노 독주회","2023-02-20~2023-02-20","세종체임버홀","2023-02-20 09:00:00+09","2023-02-20 09:00:00+09"
"클래식","서초구","라움 트롬본 앙상블 제 3회 정기연주회","2023-02-20~2023-02-20","심산문화센터 반포심산아트홀","2023-02-20 09:00:00+09","2023-02-20 09:00:00+09"
"뮤지컬/오페라","마포구","청소년 뮤지컬 [랜덤]","2023-02-19~2023-02-19","다리소극장(홍대입구역 2번출구) ","2023-02-19 09:00:00+09","2023-02-19 09:00:00+09"
"전시/미술","종로구","쓸모의 재탄생","2023-02-18~2023-04-01","서울공예박물관 전시3동 1층","2023-02-18 09:00:00+09","2023-04-01 09:00:00+09"
