R_SEQ_NO,CD_AREA,NO_EQUP_SE,SD_NM,SGG_NM,CD_EQUP,GB_ACMD,EQUP_NM,RDNMADR_CD,BDONG_CD,HDONG_CD,LOC_SFPR_A,SECT_EQUP,QTY_CPTY,XCORD,YCORD,XX,YY,CD_GUBUN
6406,1156000000,473,서울특별시,영등포구,14,"공공시설(국·공립도서관, 공립병원, 시·도민회관, 구민회관 주민체육시설, 노인병원, 어린이도서관 등)",다목적배드민턴체육관,1156011800102540000025926,1156011800,1156058500,서울특별시 영등포구 도신로15길 5(도림동),1650,635,126.89733,37.50674,190922.0611,545256.9466,긴급
6417,1156000000,430,서울특별시,영등포구,6,교회,당산천주교회(당산동성당),1156011300100790000029027,1156011300,1156055000,서울특별시 영등포구 당산로28길 11(당산동3가),300,115,126.89803,37.52494,190986.1302,547276.7342,안전
3894,1165000000,14,서울특별시,서초구,1,학교,이수초등학교,1165010100104680006013378,1165010100,1165061000,서울특별시 서초구 방배천로4길 23(방배동),165,63,126.98461,37.47846,198638.9875,542113.8068,긴급
6423,1156000000,438,서울특별시,영등포구,6,교회,도림동성당,1156011800101440010025425,1156011800,1156058500,서울특별시 영등포구 도영로22길 22(도림동),150,58,126.90145,37.51053,191286.7705,545677.3519,안전
3895,1162000000,381,서울특별시,관악구,1,학교,신봉초등학교,1162010100104580000025646,1162010100,1162061500,서울특별시 관악구 양녕로6나길 1(봉천동),868,333,126.94927,37.48571,195513.4143,542919.347,안전
3896,1165000000,427,서울특별시,서초구,3,경로당,암산마을경로당,1165010300100550000005917,1165010300,1165065100,서울특별시 서초구 바우뫼로7길 84(우면동),99,38,127.02443,37.47352,202160.9432,541565.3758,안전
6419,1156000000,462,서울특별시,영등포구,4,관공서,당산2동주민센터,1156011400100800005000001,1156011400,1156056000,서울특별시 영등포구 당산로41가길 7(당산동4가),355,137,126.89726,37.531,190919.1718,547950.0576,안전
6424,1156000000,431,서울특별시,영등포구,6,교회,영도교회,1156011800101300022026602,1156011800,1156058500,서울특별시 영등포구 도신로29사길 6(도림동),521,200,126.90533,37.51003,191629.7215,545621.8657,안전
3897,1165000000,428,서울특별시,서초구,3,경로당,소동마을경로당,1165010300104760006007133,1165010300,1165065100,서울특별시 서초구 송동길 27(우면동),99,38,127.01711,37.46017,201513.4883,540084.0216,안전
6418,1156000000,476,서울특별시,영등포구,13,"연수,숙박",SL모텔,1156011300103860007028865,1156011300,1156055000,서울특별시 영등포구 당산로33길 3(당산동3가),1030,15,126.89633,37.52706,190836.2918,547512.748,안전
6425,1156000000,399,서울특별시,영등포구,1,학교,당산중학교,1156011700101210000000001,1156011700,1156056000,서울특별시 영등포구 버드나루로 160(당산동),540,208,126.90758,37.53211,191831.1755,548072.2268,긴급
6442,1156000000,443,서울특별시,영등포구,3,경로당,구립당산2동경로당,1156011600101840000000001,1156011600,1156056000,서울특별시 영등포구 당산로48길 16(당산동6가),122,47,126.90401,37.53494,191516.2671,548386.7266,안전
6441,1156000000,472,서울특별시,영등포구,14,"공공시설(국·공립도서관, 공립병원, 시·도민회관, 구민회관 주민체육시설, 노인병원, 어린이도서관 등)",영등포제2스포츠센터,1156011400100960001000001,1156011400,1156056000,서울특별시 영등포구 국회대로 615(당산동4가),553,213,126.90282,37.52649,191409.6571,547448.4022,긴급
6426,1156000000,444,서울특별시,영등포구,3,경로당,구립모랫말경로당,1156011800102050023025406,1156011800,1156058500,서울특별시 영등포구 도영로 41(도림동),176,68,126.89749,37.50971,190936.3361,545586.4259,안전
6427,1156000000,467,서울특별시,영등포구,4,관공서,도림동주민센터,1156011800102220007026007,1156011800,1156058500,서울특별시 영등포구 도영로7길 10(도림동),121,47,126.89589,37.50951,190795.0423,545564.8397,긴급
6428,1156000000,432,서울특별시,영등포구,6,교회,도림교회,1156011800102050024026134,1156011800,1156058500,서울특별시 영등포구 도영로 37(도림동),275,106,126.89715,37.51013,190906.2862,545633.6239,안전
6443,1156000000,418,서울특별시,영등포구,1,학교,서울영동초등학교,1156011700101210022028717,1156011700,1156056000,서울특별시 영등포구 국회대로53길 20(당산동),620,238,126.90765,37.52687,191837.0564,547490.2824,긴급
12219,1150000000,420,서울특별시,강서구,1,학교,삼정중학교,1150010900108560000000168,1150010900,1150064100,서울특별시 강서구 금낭화로 210(방화동),260,100,126.81075,37.58123,183283.3018,553535.9833,안전
12351,1154500000,321,서울특별시,금천구,1,학교,탑동초등학교,1154510300102300000004115,1154510300,1154568000,서울특별시 금천구 탑골로 47-3 (시흥동),900,346,126.91453,37.45273,192437.3613,539260.7057,안전
12220,1150000000,428,서울특별시,강서구,1,학교,송화초등학교,1150010900102380001005001,1150010900,1150063000,서울특별시 강서구 방화대로34길 2(마곡동),1726,663,126.81754,37.5685,183880.7249,552122.4328,안전
12353,1154500000,348,서울특별시,금천구,2,마을회관,박미사랑마을회관,1154510300109570011016434,1154510300,1154569000,서울특별시 금천구 시흥대로12길 82(시흥동),165,63,126.90744,37.4403,191808.6602,537882.412,안전
12352,1154500000,357,서울특별시,금천구,1,학교,문일고등학교,1154510300105590001004671,1154510300,1154567000,서울특별시 금천구 시흥대로47길 45(시흥동),1851,711,126.89825,37.44949,190996.5612,538903.4151,안전
12221,1154500000,345,서울특별시,금천구,4,관공서,금천노인종합복지관,1154510300105580001004801,1154510300,1154567000,서울특별시 금천구 시흥대로51길 93-32 (시흥동),268,103,126.89782,37.45017,190958.5998,538978.1489,안전
12350,1154500000,320,서울특별시,금천구,1,학교,시흥초등학교,1154510300108410000005948,1154510300,1154567000,서울특별시 금천구 금하로11길 40(시흥동),900,346,126.90424,37.45546,191527.4332,539564.6257,안전
12348,1154500000,318,서울특별시,금천구,1,학교,신흥초등학교,1154510300107040056002182,1154510300,1154570000,서울특별시 금천구 독산로36나길 21(시흥동),900,346,126.9087,37.45941,191922.1087,540003.3381,안전
12349,1154500000,319,서울특별시,금천구,1,학교,백산초등학교,1154510300104380005000920,1154510300,1154571000,서울특별시 금천구 시흥대로38길 78(시흥동),900,346,126.905,37.447,191594.0066,538626.2559,안전
12222,1154500000,347,서울특별시,금천구,4,관공서,청담종합사회복지관,1154510300102410007015878,1154510300,1154568000,서울특별시 금천구 금하로29길 36(시흥동),198,76,126.91375,37.45129,192368.0002,539101.4371,안전
10207,1153000000,364,서울특별시,구로구,1,학교,천왕중학교,1153011100101660003000003,1153011100,1153078000,서울특별시 구로구 천왕로 63(천왕동),754,290,126.83752,37.48261,185612.82,542591.42,안전
10206,1153000000,373,서울특별시,구로구,14,"공공시설(국·공립도서관, 공립병원, 시·도민회관, 구민회관 주민체육시설, 노인병원, 어린이도서관 등)",온수어르신복지관,1153011000101550005000001,1153011000,1153079000,서울특별시 구로구 부일로9길 111(온수동),258,99,126.82329,37.49667,184373.2793,544149.5797,안전
12354,1154500000,350,서울특별시,금천구,4,관공서,금천문화원,1154510300109370009000001,1154510300,1154569000,서울특별시 금천구 시흥대로38길 61(시흥동),198,76,126.90454,37.44741,191553.2549,538671.4019,안전
12355,1154500000,352,서울특별시,금천구,4,관공서,남부여성발전센터,1154510300201390002001767,1154510300,1154570000,서울특별시 금천구 독산로50길 23(시흥동),231,88,126.90604,37.46326,191687.0887,540430.664,안전
12356,1154500000,356,서울특별시,금천구,4,관공서,시흥5동주민센터,1154510300108320014000398,1154510300,1154571000,서울특별시 금천구 금하로21길 20(시흥동),165,63,126.9083,37.45235,191886.3779,539219.8281,안전
10212,1154500000,332,서울특별시,금천구,4,관공서,가산종합사회복지관,1154510100101440003015759,1154510100,1154551000,서울특별시 금천구 가산로 129(가산동),170,65,126.89176,37.47687,190426.1471,541942.8843,긴급
10208,1153000000,361,서울특별시,구로구,1,학교,서울천왕초등학교,1153011100101720002000002,1153011100,1153078000,서울특별시 구로구 천왕로1길 11(천왕동),759,292,126.83676,37.48158,185562.011,542472.1463,안전
10216,1154500000,8,서울특별시,금천구,1,학교,문교초등학교,1154510200202020001010117,1154510200,1154562000,서울특별시 금천구 독산로54길 102(독산동),900,346,126.90868,37.46639,191921.7149,540778.0808,안전
10211,1154500000,331,서울특별시,금천구,4,관공서,가산동주민센터,1154510100101440003015759,1154510100,1154551000,서울특별시 금천구 가산로 129(가산동),135,51,126.89176,37.47687,190426.1471,541942.8843,긴급
